stdlinxscd,tdlinx_store_sk,stranscd,smodchgind,sfiledt,sstatusind,sname,sno,sstreetadd,scity,sst,szip,splacenm,sstcd,scntcd,scntrynm,stradeclcd,sformatcd,snostrcd,schainind,sfiller1,slat,slong,slatlongcd,sblockid,sfiller2,sareacd,sphoneno,sfiller3,sannvolcd,swklyvol,ssqft,sftemploy,snmchkout,sfiller4,stdlinxocd,sownfamcd,sownnm,sowncity,sownst,sownstcd,sowncntcd,sfiller5,stdlinxpcd,ssupfamcd,ssupnm,ssupcity,ssupst,ssupstcd,ssupcntcd,sfiller6,stdlinxgcd,sgrpnm,sfranind,sfiller7,sgas,shivolcig,spharm,sliquor,swine,sbeer,sonprem,sfoodtype,sfuture1,sfuture2,sfuture3,sfiller8,src_desc,cstdlinxscd,current_ind,trade_channel_desc,premise_type,tdlinx_premise,store_volume_desc,chain_indicator_desc,food_type_desc,format_type_desc,lat_long_geo_desc,no_of_stores_desc,store_status_desc,transaction_code_desc,htdlinxucd,hulname,td_store_osk,source_system,ecommerce_provider,ecommerce_delivery_ind,ecommerce_in_store_pickup_ind,ecommerce_curbside_pickup_ind,load_dt,modified_dt
TDLX00068,1000000068,N,ADD,20260129,A,BevMo!,1068,4727 Market St,Seattle,WA,98101,Seattle,WA,USA,United States,OFF,Sp,68,C,FILLER,45.4613,-105.7928,Y,BLK00068,FILLER,WA,950-555-5232,FILLER,H,6090,25311,44,3,FILLER,OWN00068,FAM068,BevMo! Inc,Seattle,WA,WA,USA,FILLER,PROV00068,SUP001,Southern Glazer's,Dallas,TX,TX,USA,FILLER,GRP068,BevMo! Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,SPEC,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00068,Y,Retail - Off Premise,OFF,OFF-Premise,"High Volume,$10M+",Chain,Specialty Store,Specialty Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00068,BEVMO! SEATTLE,1000000068,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00069,1000000069,N,ADD,20260129,A,Bonefish Grill,1069,3189 Market St,Philadelphia,PA,19101,Philadelphia,PA,USA,United States,ON,Ca,69,C,FILLER,48.6048,-71.4175,Y,BLK00069,FILLER,PA,295-555-6758,FILLER,M,8112,25716,27,8,FILLER,OWN00069,FAM069,Bonefish Grill Inc,Philadelphia,PA,PA,USA,FILLER,PROV00069,SUP001,Southern Glazer's,New York,CA,CA,USA,FILLER,GRP069,Bonefish Grill Group,Y,FILLER,N,N,N,Y,Y,Y,Y,CASUAL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00069,Y,Restaurant - On Premise,ON,ON-Premise,"Medium Volume,$2-5M",Chain,Casual Dining,Casual Dining,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00069,BONEFISH GRILL PHILADELPH,1000000069,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00070,1000000070,N,ADD,20260129,A,Spec's Wine Spirit & Finer Foods,1070,4502 Pine St,Tampa,FL,33601,Tampa,FL,USA,United States,OFF,Co,70,C,FILLER,44.0308,-124.1231,Y,BLK00070,FILLER,FL,974-555-3562,FILLER,L,7719,26220,62,10,FILLER,OWN00070,FAM070,Spec's Wine Spirit & Finer Foods Inc,Tampa,FL,FL,USA,FILLER,PROV00070,SUP001,Southern Glazer's,Miami,CA,NY,USA,FILLER,GRP070,Spec's Wine Spirit & Finer Foods Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,RETAIL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00070,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$5-10M",Chain,Convenience Store,Convenience Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00070,SPEC'S WINE SPIRIT & TAMPA,1000000070,SGWS,DoorDash,Y,Y,Y,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00071,1000000071,N,ADD,20260129,A,Liquor Barn,1071,1641 Pine St,Milwaukee,WI,53201,Milwaukee,WI,USA,United States,OFF,Su,71,I,FILLER,29.9801,-118.0863,Y,BLK00071,FILLER,WI,442-555-8089,FILLER,H,2713,17621,91,3,FILLER,OWN00071,FAM071,Liquor Barn Inc,Milwaukee,WI,WI,USA,FILLER,PROV00071,SUP001,Southern Glazer's,New York,FL,TX,USA,FILLER,GRP071,Liquor Barn Group,N,FILLER,N,Y,Y,Y,Y,Y,N,RETAIL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00071,Y,Retail - Off Premise,OFF,OFF-Premise,"High Volume,$10M+",Independent,Superstore,Superstore,Valid Coordinates,Single Store,Active,New Account,ULOC00071,LIQUOR BARN MILWAUKEE,1000000071,SGWS,Uber Eats,Y,N,Y,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00072,1000000072,N,ADD,20260129,A,Spec's Wine Spirit & Finer Foods,1072,6658 Broadway,Tucson,AZ,85701,Tucson,AZ,USA,United States,OFF,Sp,72,C,FILLER,26.5796,-78.0749,Y,BLK00072,FILLER,AZ,775-555-5507,FILLER,L,6227,7881,42,11,FILLER,OWN00072,FAM072,Spec's Wine Spirit & Finer Foods Inc,Tucson,AZ,AZ,USA,FILLER,PROV00072,SUP001,Southern Glazer's,Dallas,CA,FL,USA,FILLER,GRP072,Spec's Wine Spirit & Finer Foods Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,CONV,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00072,Y,Retail - Off Premise,OFF,OFF-Premise,"Low Volume,<$2M",Chain,Specialty Store,Specialty Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00072,SPEC'S WINE SPIRIT & TUCSON,1000000072,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00073,1000000073,N,ADD,20260129,A,Gary's Wine & Marketplace,1073,765 Elm St,Los Angeles,CA,90001,Los Angeles,CA,USA,United States,OFF,Su,73,I,FILLER,36.5583,-69.6397,Y,BLK00073,FILLER,CA,371-555-6589,FILLER,H,2068,5062,61,8,FILLER,OWN00073,FAM073,Gary's Wine & Marketplace Inc,Los Angeles,CA,CA,USA,FILLER,PROV00073,SUP001,Southern Glazer's,Miami,TX,FL,USA,FILLER,GRP073,Gary's Wine & Marketplace Group,N,FILLER,N,Y,Y,Y,Y,Y,N,RETAIL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00073,Y,Retail - Off Premise,OFF,OFF-Premise,"High Volume,$10M+",Independent,Superstore,Superstore,Valid Coordinates,Single Store,Active,New Account,ULOC00073,GARY'S WINE & MARKET LOS ANGELE,1000000073,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00074,1000000074,N,ADD,20260129,A,Keg N Bottle,1074,2307 Broadway,Houston,TX,77001,Houston,TX,USA,United States,OFF,Su,74,C,FILLER,37.3595,-89.3399,Y,BLK00074,FILLER,TX,229-555-3404,FILLER,L,7532,16114,48,3,FILLER,OWN00074,FAM074,Keg N Bottle Inc,Houston,TX,TX,USA,FILLER,PROV00074,SUP001,Southern Glazer's,Miami,CA,TX,USA,FILLER,GRP074,Keg N Bottle Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,CONV,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00074,Y,Retail - Off Premise,OFF,OFF-Premise,"Low Volume,<$2M",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00074,KEG N BOTTLE HOUSTON,1000000074,SGWS,Uber Eats,Y,N,Y,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00075,1000000075,N,ADD,20260129,A,Binny's Beverage Depot,1075,8005 Oak Ave,Charlotte,NC,28201,Charlotte,NC,USA,United States,OFF,Su,75,C,FILLER,37.113,-106.6303,Y,BLK00075,FILLER,NC,245-555-5721,FILLER,M,5142,13353,26,7,FILLER,OWN00075,FAM075,Binny's Beverage Depot Inc,Charlotte,NC,NC,USA,FILLER,PROV00075,SUP001,Southern Glazer's,Los Angeles,TX,FL,USA,FILLER,GRP075,Binny's Beverage Depot Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,CONV,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00075,Y,Retail - Off Premise,OFF,OFF-Premise,"Low Volume,<$2M",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00075,BINNY'S BEVERAGE DEP CHARLOTTE,1000000075,SGWS,Uber Eats,Y,N,Y,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00076,1000000076,N,ADD,20260129,A,K&L Wine Merchants,1076,4751 Main St,Houston,TX,77001,Houston,TX,USA,United States,OFF,Sp,76,C,FILLER,33.0032,-83.8379,Y,BLK00076,FILLER,TX,249-555-6104,FILLER,M,8193,22107,45,7,FILLER,OWN00076,FAM076,K&L Wine Merchants Inc,Houston,TX,TX,USA,FILLER,PROV00076,SUP001,Southern Glazer's,Dallas,CA,FL,USA,FILLER,GRP076,K&L Wine Merchants Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,RETAIL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00076,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$2-5M",Chain,Specialty Store,Specialty Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00076,K&L WINE MERCHANTS HOUSTON,1000000076,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00077,1000000077,N,ADD,20260129,A,BevMo!,1077,7415 Market St,Oklahoma City,OK,73101,Oklahoma City,OK,USA,United States,OFF,Su,77,C,FILLER,26.3745,-96.9017,Y,BLK00077,FILLER,OK,246-555-3326,FILLER,H,4974,22541,56,11,FILLER,OWN00077,FAM077,BevMo! Inc,Oklahoma City,OK,OK,USA,FILLER,PROV00077,SUP001,Southern Glazer's,Dallas,NY,TX,USA,FILLER,GRP077,BevMo! Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,CONV,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00077,Y,Retail - Off Premise,OFF,OFF-Premise,"Low Volume,<$2M",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00077,BEVMO! OKLAHOMA C,1000000077,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00078,1000000078,N,ADD,20260129,A,Total Wine & More,1078,7943 Broadway,Tampa,FL,33601,Tampa,FL,USA,United States,OFF,Sp,78,C,FILLER,42.4872,-94.9753,Y,BLK00078,FILLER,FL,884-555-7791,FILLER,L,4249,5998,72,10,FILLER,OWN00078,FAM078,Total Wine & More Inc,Tampa,FL,FL,USA,FILLER,PROV00078,SUP001,Southern Glazer's,Dallas,FL,TX,USA,FILLER,GRP078,Total Wine & More Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,RETAIL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00078,Y,Retail - Off Premise,OFF,OFF-Premise,"Low Volume,<$2M",Chain,Specialty Store,Specialty Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00078,TOTAL WINE & MORE TAMPA,1000000078,SGWS,Instacart,Y,Y,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00079,1000000079,N,ADD,20260129,A,BevMo!,1079,2355 1st Ave,Tucson,AZ,85701,Tucson,AZ,USA,United States,OFF,Co,79,C,FILLER,38.138,-85.5671,Y,BLK00079,FILLER,AZ,364-555-3979,FILLER,H,5283,23031,78,5,FILLER,OWN00079,FAM079,BevMo! Inc,Tucson,AZ,AZ,USA,FILLER,PROV00079,SUP001,Southern Glazer's,New York,TX,CA,USA,FILLER,GRP079,BevMo! Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,SPEC,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00079,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$5-10M",Chain,Convenience Store,Convenience Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00079,BEVMO! TUCSON,1000000079,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00080,1000000080,N,ADD,20260129,A,Hi-Time Wine Cellars,1080,6341 Pine St,New York,NY,10001,New York,NY,USA,United States,OFF,Sp,80,C,FILLER,45.8738,-97.4215,Y,BLK00080,FILLER,NY,367-555-3709,FILLER,L,2782,9209,85,12,FILLER,OWN00080,FAM080,Hi-Time Wine Cellars Inc,New York,NY,NY,USA,FILLER,PROV00080,SUP001,Southern Glazer's,Dallas,TX,CA,USA,FILLER,GRP080,Hi-Time Wine Cellars Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,CONV,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00080,Y,Retail - Off Premise,OFF,OFF-Premise,"Low Volume,<$2M",Chain,Specialty Store,Specialty Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00080,HI-TIME WINE CELLARS NEW YORK,1000000080,SGWS,Instacart,Y,Y,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00081,1000000081,N,ADD,20260129,A,Liquor Barn,1081,572 Pine St,Houston,TX,77001,Houston,TX,USA,United States,OFF,Su,81,C,FILLER,35.1372,-109.2735,Y,BLK00081,FILLER,TX,425-555-9346,FILLER,M,2046,18267,90,7,FILLER,OWN00081,FAM081,Liquor Barn Inc,Houston,TX,TX,USA,FILLER,PROV00081,SUP001,Southern Glazer's,New York,CA,NY,USA,FILLER,GRP081,Liquor Barn Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,CONV,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00081,Y,Retail - Off Premise,OFF,OFF-Premise,"High Volume,$10M+",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00081,LIQUOR BARN HOUSTON,1000000081,SGWS,Uber Eats,Y,N,Y,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00082,1000000082,N,ADD,20260129,A,Riverside Liquor,1082,3327 Oak Ave,Atlanta,GA,30301,Atlanta,GA,USA,United States,OFF,Co,82,C,FILLER,34.9303,-122.0021,Y,BLK00082,FILLER,GA,834-555-4006,FILLER,L,5625,21433,55,10,FILLER,OWN00082,FAM082,Riverside Liquor Inc,Atlanta,GA,GA,USA,FILLER,PROV00082,SUP001,Southern Glazer's,Miami,FL,TX,USA,FILLER,GRP082,Riverside Liquor Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,CONV,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00082,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$2-5M",Chain,Convenience Store,Convenience Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00082,RIVERSIDE LIQUOR ATLANTA,1000000082,SGWS,DoorDash,Y,Y,Y,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00083,1000000083,N,ADD,20260129,A,Bottles,1083,7474 Broadway,New York,NY,10001,New York,NY,USA,United States,OFF,Su,83,I,FILLER,30.2363,-108.7149,Y,BLK00083,FILLER,NY,829-555-1586,FILLER,M,6750,26897,78,8,FILLER,OWN00083,FAM083,Bottles Inc,New York,NY,NY,USA,FILLER,PROV00083,SUP001,Southern Glazer's,New York,CA,TX,USA,FILLER,GRP083,Bottles Group,N,FILLER,N,Y,Y,Y,Y,Y,N,CONV,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00083,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$5-10M",Independent,Superstore,Superstore,Valid Coordinates,Single Store,Active,New Account,ULOC00083,BOTTLES NEW YORK,1000000083,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00084,1000000084,N,ADD,20260129,A,BevMo!,1084,2327 Oak Ave,Tampa,FL,33601,Tampa,FL,USA,United States,OFF,Su,84,C,FILLER,48.3289,-94.7701,Y,BLK00084,FILLER,FL,931-555-2189,FILLER,H,8750,26320,47,3,FILLER,OWN00084,FAM084,BevMo! Inc,Tampa,FL,FL,USA,FILLER,PROV00084,SUP001,Southern Glazer's,Dallas,FL,NY,USA,FILLER,GRP084,BevMo! Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,CONV,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00084,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$5-10M",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00084,BEVMO! TAMPA,1000000084,SGWS,Uber Eats,Y,N,Y,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00085,1000000085,N,ADD,20260129,A,Total Wine & More,1085,3997 1st Ave,Phoenix,AZ,85001,Phoenix,AZ,USA,United States,OFF,Co,85,C,FILLER,29.687,-122.1676,Y,BLK00085,FILLER,AZ,279-555-1490,FILLER,M,1505,18832,68,7,FILLER,OWN00085,FAM085,Total Wine & More Inc,Phoenix,AZ,AZ,USA,FILLER,PROV00085,SUP001,Southern Glazer's,Los Angeles,CA,CA,USA,FILLER,GRP085,Total Wine & More Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,RETAIL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00085,Y,Retail - Off Premise,OFF,OFF-Premise,"Low Volume,<$2M",Chain,Convenience Store,Convenience Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00085,TOTAL WINE & MORE PHOENIX,1000000085,SGWS,Instacart,Y,Y,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00086,1000000086,N,ADD,20260129,A,Spec's Wine Spirit & Finer Foods,1086,6852 Pine St,New York,NY,10001,New York,NY,USA,United States,OFF,Su,86,C,FILLER,43.1732,-115.4513,Y,BLK00086,FILLER,NY,450-555-4180,FILLER,L,8858,17604,46,12,FILLER,OWN00086,FAM086,Spec's Wine Spirit & Finer Foods Inc,New York,NY,NY,USA,FILLER,PROV00086,SUP001,Southern Glazer's,Los Angeles,TX,NY,USA,FILLER,GRP086,Spec's Wine Spirit & Finer Foods Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,RETAIL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00086,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$2-5M",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00086,SPEC'S WINE SPIRIT & NEW YORK,1000000086,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00087,1000000087,N,ADD,20260129,A,Fleming's Prime Steakhouse,1087,7947 Broadway,Miami,FL,33101,Miami,FL,USA,United States,ON,Fi,87,C,FILLER,25.6208,-67.6471,Y,BLK00087,FILLER,FL,585-555-4978,FILLER,L,7153,23448,68,8,FILLER,OWN00087,FAM087,Fleming's Prime Steakhouse Inc,Miami,FL,FL,USA,FILLER,PROV00087,SUP001,Southern Glazer's,New York,FL,FL,USA,FILLER,GRP087,Fleming's Prime Steakhouse Group,Y,FILLER,N,N,N,Y,Y,Y,Y,SEAFOOD,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00087,Y,Restaurant - On Premise,ON,ON-Premise,"Medium Volume,$5-10M",Chain,Fine Dining,Fine Dining,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00087,FLEMING'S PRIME STEA MIAMI,1000000087,SGWS,Uber Eats,Y,N,Y,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00088,1000000088,N,ADD,20260129,A,The Cheesecake Factory,1088,8397 Broadway,Dallas,TX,75201,Dallas,TX,USA,United States,ON,Ca,88,C,FILLER,40.2476,-68.0403,Y,BLK00088,FILLER,TX,238-555-8943,FILLER,L,1633,13008,75,6,FILLER,OWN00088,FAM088,The Cheesecake Factory Inc,Dallas,TX,TX,USA,FILLER,PROV00088,SUP001,Southern Glazer's,Miami,TX,CA,USA,FILLER,GRP088,The Cheesecake Factory Group,Y,FILLER,N,N,N,Y,Y,Y,Y,ITALIAN,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00088,Y,Restaurant - On Premise,ON,ON-Premise,"Medium Volume,$2-5M",Chain,Casual Dining,Casual Dining,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00088,THE CHEESECAKE FACTO DALLAS,1000000088,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00089,1000000089,N,ADD,20260129,A,Eddie V's,1089,7379 Elm St,San Francisco,CA,94101,San Francisco,CA,USA,United States,ON,Ba,89,C,FILLER,35.1271,-122.7779,Y,BLK00089,FILLER,CA,973-555-8564,FILLER,M,5386,16778,72,3,FILLER,OWN00089,FAM089,Eddie V's Inc,San Francisco,CA,CA,USA,FILLER,PROV00089,SUP001,Southern Glazer's,Los Angeles,FL,TX,USA,FILLER,GRP089,Eddie V's Group,Y,FILLER,N,N,N,Y,Y,Y,Y,CASUAL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00089,Y,Restaurant - On Premise,ON,ON-Premise,"High Volume,$10M+",Chain,Bar & Grill,Bar & Grill,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00089,EDDIE V'S SAN FRANCI,1000000089,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00090,1000000090,N,ADD,20260129,A,Keg N Bottle,1090,2643 Main St,Albuquerque,NM,87101,Albuquerque,NM,USA,United States,OFF,Su,90,C,FILLER,35.9066,-102.1095,Y,BLK00090,FILLER,NM,567-555-4963,FILLER,M,1371,13007,56,9,FILLER,OWN00090,FAM090,Keg N Bottle Inc,Albuquerque,NM,NM,USA,FILLER,PROV00090,SUP001,Southern Glazer's,Miami,CA,CA,USA,FILLER,GRP090,Keg N Bottle Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,RETAIL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00090,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$5-10M",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00090,KEG N BOTTLE ALBUQUERQU,1000000090,SGWS,DoorDash,Y,Y,Y,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00091,1000000091,N,ADD,20260129,A,The Capital Grille,1091,8838 Pine St,New York,NY,10001,New York,NY,USA,United States,ON,Fi,91,C,FILLER,39.602,-108.473,Y,BLK00091,FILLER,NY,982-555-6816,FILLER,L,1309,6335,33,6,FILLER,OWN00091,FAM091,The Capital Grille Inc,New York,NY,NY,USA,FILLER,PROV00091,SUP001,Southern Glazer's,Dallas,FL,CA,USA,FILLER,GRP091,The Capital Grille Group,Y,FILLER,N,N,N,Y,Y,Y,Y,ITALIAN,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00091,Y,Restaurant - On Premise,ON,ON-Premise,"High Volume,$10M+",Chain,Fine Dining,Fine Dining,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00091,THE CAPITAL GRILLE NEW YORK,1000000091,SGWS,Instacart,Y,Y,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00092,1000000092,N,ADD,20260129,A,Gary's Wine & Marketplace,1092,9546 Broadway,Milwaukee,WI,53201,Milwaukee,WI,USA,United States,OFF,Sp,92,C,FILLER,33.4743,-71.9532,Y,BLK00092,FILLER,WI,712-555-9721,FILLER,M,7651,25492,97,6,FILLER,OWN00092,FAM092,Gary's Wine & Marketplace Inc,Milwaukee,WI,WI,USA,FILLER,PROV00092,SUP001,Southern Glazer's,Miami,CA,CA,USA,FILLER,GRP092,Gary's Wine & Marketplace Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,RETAIL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00092,Y,Retail - Off Premise,OFF,OFF-Premise,"Low Volume,<$2M",Chain,Specialty Store,Specialty Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00092,GARY'S WINE & MARKET MILWAUKEE,1000000092,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00093,1000000093,N,ADD,20260129,A,Gary's Wine & Marketplace,1093,8563 Main St,Las Vegas,NV,89101,Las Vegas,NV,USA,United States,OFF,Co,93,C,FILLER,26.6035,-68.2125,Y,BLK00093,FILLER,NV,958-555-6964,FILLER,H,7488,27399,77,6,FILLER,OWN00093,FAM093,Gary's Wine & Marketplace Inc,Las Vegas,NV,NV,USA,FILLER,PROV00093,SUP001,Southern Glazer's,Los Angeles,CA,CA,USA,FILLER,GRP093,Gary's Wine & Marketplace Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,SPEC,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00093,Y,Retail - Off Premise,OFF,OFF-Premise,"Low Volume,<$2M",Chain,Convenience Store,Convenience Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00093,GARY'S WINE & MARKET LAS VEGAS,1000000093,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00094,1000000094,N,ADD,20260129,A,Keg N Bottle,1094,4740 Market St,San Diego,CA,92101,San Diego,CA,USA,United States,OFF,Co,94,C,FILLER,25.0149,-80.8657,Y,BLK00094,FILLER,CA,417-555-8870,FILLER,L,5022,18117,75,11,FILLER,OWN00094,FAM094,Keg N Bottle Inc,San Diego,CA,CA,USA,FILLER,PROV00094,SUP001,Southern Glazer's,Miami,CA,TX,USA,FILLER,GRP094,Keg N Bottle Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,SPEC,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00094,Y,Retail - Off Premise,OFF,OFF-Premise,"High Volume,$10M+",Chain,Convenience Store,Convenience Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00094,KEG N BOTTLE SAN DIEGO,1000000094,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00095,1000000095,N,ADD,20260129,A,K&L Wine Merchants,1095,9957 Pine St,Charlotte,NC,28201,Charlotte,NC,USA,United States,OFF,Su,95,I,FILLER,31.4802,-94.2333,Y,BLK00095,FILLER,NC,754-555-8074,FILLER,H,4804,9689,83,9,FILLER,OWN00095,FAM095,K&L Wine Merchants Inc,Charlotte,NC,NC,USA,FILLER,PROV00095,SUP001,Southern Glazer's,Miami,CA,TX,USA,FILLER,GRP095,K&L Wine Merchants Group,N,FILLER,N,Y,Y,Y,Y,Y,N,SPEC,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00095,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$5-10M",Independent,Superstore,Superstore,Valid Coordinates,Single Store,Active,New Account,ULOC00095,K&L WINE MERCHANTS CHARLOTTE,1000000095,SGWS,Uber Eats,Y,N,Y,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
